Team,T/O,Punt,Oth,TD%,Poss,TD,FG,FGM,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,Opp_2&O_2&O,Opp_2&O_%
BC,30,110,8,14%,233,33,43,9,30,5,126,13,49,7,18,4,8,4,2,0,73,31%
CGY,29,98,15,16%,221,35,40,4,34,4,125,16,36,7,15,4,7,2,4,2,71,32%
EDM,23,92,14,18%,225,41,47,8,40,1,117,20,41,10,13,4,13,5,1,1,71,32%
HAM,38,90,13,18%,228,41,39,7,30,2,118,25,47,7,15,0,16,6,2,1,62,27%
MTL,41,99,10,16%,229,36,37,6,34,3,139,17,31,5,12,4,12,5,1,0,77,34%
OTT,38,101,8,19%,237,45,39,6,36,3,124,25,47,10,16,3,12,4,2,0,70,30%
SSK,23,106,16,20%,241,48,44,4,32,5,137,28,38,5,15,4,15,4,4,2,77,32%
TOR,44,102,12,15%,225,33,29,5,39,2,145,20,20,5,12,4,9,2,0,0,80,36%
WPG,38,100,11,11%,216,24,37,6,31,3,114,13,44,2,13,2,12,2,2,2,87,40%
CFL,304,898,107,,"2,055",336,355,55,306,28,1145,177,353,58,129,29,104,34,18,8,668,33%
