Team,LG,S,FG Atts,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,Atts 81,52,49,94.23076923076924,25,25,100.0,27,24,88.9,4,2,"1,713",35.0,"1,864",35.8
CGY,53,0,Made 74,55,48,87.27272727272727,26,25,96.2,29,23,79.3,7,6,"1,764",36.8,"2,084",37.9
EDM,46,3,% 91%,28,23,82.14285714285714,14,13,92.9,14,10,71.4,1,0,705,32.0,962,34.4
HAM,50,3,,46,40,86.95652173913044,36,35,97.2,10,5,50.0,3,1,"1,189",29.7,"1,469",31.9
MTL,51,5,,57,44,77.19298245614034,30,26,86.7,27,18,66.7,5,4,"1,479",33.6,"2,040",35.8
OTT,54,2,,46,39,84.78260869565217,24,23,95.8,22,16,72.7,11,8,"1,332",34.2,"1,654",36.0
SSK,54,2,,45,38,84.44444444444444,29,27,93.1,16,11,68.8,7,3,"1,213",31.9,"1,531",34.0
TOR,53,1,,37,35,94.59459459459461,26,26,100.0,11,9,81.8,3,2,"1,121",32.0,"1,212",32.8
WPG,53,0,,45,41,91.11111111111111,28,29,103.6,16,12,75.0,5,3,"1,267",31.7,"1,512",33.6
CFL,54,16,,411,357,86.86131386861314,238,229,96.2,172,128,74.4,46,29,"11,783",33.2,"14,328",34.9
