Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,10,39,126,35 (3),9,-7,9,20,8,15,32,72
CGY,6,28,72,26 (2),11,+5,6,16,9,13,33,68
EDM,13,40,95,38 (2),6,-16,8,19,5,13,24,35
HAM,11,42,108,41 (1),9,0,10,21,14,19,42,93
MTL,5,33,83,31 (2),11,+10,12,16,12,20,43,118
OTT,10,42,82,39 (3),6,-2,16,16,12,22,40,125
SSK,16,46,118,43 (3),4,-20,14,16,8,14,26,42
TOR,6,21,46,19 (2),11,+25,3,12,12,23,46,141
WPG,6,33,78,32 (1),16,+5,12,15,10,12,38,114
CFL,83,324,808,304 (19),83,2023,90,151,90,151,324,808
