Team,Punt_returns_TD,Punt_returns_30+,Punt_returns_10+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,3,,3,2,3,9,78,891,11.4,68,58,"1,304",22.5,62,0,6,239,120,1,0,0,1,1
CGY,0,4,,2,7,1,7,76,891,11.7,54,62,"1,298",20.9,47,0,3,135,86,0,0,0,0,0
EDM,0,2,,4,6,1,7,76,743,9.8,52,67,"1,420",21.2,72,0,4,80,30,0,0,0,0,0
HAM,0,4,,8,1,3,15,64,669,10.5,54,68,"1,550",22.8,71,1,5,237,79,0,0,1,0,1
MTL,1,7,,4,3,2,13,74,783,10.6,77,63,"1,402",22.3,79,0,5,221,125,1,1,0,1,2
OTT,1,6,,2,5,1,9,79,846,10.7,79,71,"1,514",21.3,93,1,4,98,69,0,1,1,0,2
SSK,3,4,,3,4,1,8,86,945,11.0,107,75,"1,654",22.1,82,0,2,88,59,0,3,0,0,3
TOR,4,12,,1,9,0,13,83,"1,195",14.4,91,51,952,18.7,41,0,3,11,6,0,4,0,0,4
WPG,1,2,,3,8,2,7,73,796,10.9,92,36,739,20.5,43,0,5,215,102,0,1,0,0,1
CFL,10,44,304,30,,14,88,689,"7,759",11.3,107,551,"11,833",21.5,93,2,37,"1,324",125,2,10,2,2,14
