Team,Att,Md,Fail,Opp_Att,Opp_Md,Opp_%
BC,18,13,5,22,18,82%
CGY,22,20,2,21,14,67%
EDM,20,15,5,23,19,83%
HAM,23,20,3,25,21,84%
MTL,21,18,3,23,19,83%
OTT,27,22,5,19,15,79%
SSK,38,30,8,17,14,82%
TOR,10,5,5,28,25,89%
WPG,20,16,4,21,14,67%
CFL,199,159,40,199,159,80%
