Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,20,3,23,1.35
CGY,12,6,18,1.13
EDM,10,7,17,1.00
HAM,19,4,23,1.35
MTL,20,8,28,1.65
OTT,11,4,15,0.88
SSK,7,6,13,0.76
TOR,10,2,12,0.75
WPG,13,0,13,0.81
CFL,122,40,162,2.16
