Team,FGM,T/O,Punt,Oth,TD%,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,3,35,92,12,18%,234,43,49,38,4,136,29,32,4,16,3,10,1,2,2,67,29%
CGY,7,26,112,7,12%,227,27,48,30,2,131,13,35,3,13,4,15,4,3,1,81,36%
EDM,6,38,116,9,15%,226,35,22,26,3,143,21,39,8,12,2,6,1,0,0,74,33%
HAM,6,41,94,12,15%,227,34,40,42,3,120,19,36,7,19,4,8,0,2,1,77,34%
MTL,12,31,92,13,14%,222,30,44,41,4,109,13,48,9,12,2,10,2,2,0,66,30%
OTT,7,39,110,17,13%,243,31,39,41,1,140,17,38,4,10,4,10,4,4,1,89,37%
SSK,7,43,112,11,13%,242,31,38,35,4,137,15,43,5,14,1,12,5,1,1,78,32%
TOR,2,19,97,13,24%,217,51,35,27,2,100,23,45,7,20,6,22,11,3,2,70,32%
WPG,5,32,73,13,25%,217,54,40,24,5,129,27,36,11,16,5,11,6,1,0,66,30%
CFL,55,304,898,107,,"2,055",336,355,304,28,1145,177,352,58,132,31,104,34,18,8,668,33%
