Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.4,80,6,6,1,3,6,92,"4,267",68,718,10.6,91,36.0,"3,309",(61),-135,+101,"3,214",34.9
CGY,47.6,77,5,11,4,8,4,112,"5,328",88,"1,033",11.7,94,36.6,"4,095",(63),-190,+180,"4,022",35.9
EDM,45.4,85,8,5,0,8,9,116,"5,271",81,990,12.2,68,34.1,"3,961",(103),-235,+140,"3,763",32.4
HAM,44.5,78,2,5,1,2,5,95,"4,230",75,706,9.4,77,36.3,"3,444",(18),-125,+70,"3,371",35.5
MTL,46.9,67,1,8,0,3,1,92,"4,312",75,731,9.7,48,38.5,"3,541",(9),-57,+44,"3,519",38.3
OTT,47.8,74,4,9,2,8,2,110,"5,260",87,977,11.2,107,37.5,"4,123",(56),-170,+88,"3,985",36.2
SSK,47.8,90,6,9,2,5,7,112,"5,357",86,"1,093",12.7,92,35.9,"4,024",(45),-161,+55,"3,873",34.6
TOR,48.1,75,7,10,0,4,3,97,"4,666",75,808,10.8,52,36.9,"3,578",(101),-75,+68,"3,470",35.8
WPG,46.4,73,2,9,0,3,8,73,"3,386",54,703,13.0,48,35.7,"2,603",(2),-70,+70,"2,601",35.6
CFL,46.8,90,41,72,10,44,,899,"42,077",689,"7,759",11.3,107,36.3,"32,678",(458),-1218,+816,"31,818",35.4
