Team,FGM,T/O,Punt,Oth,TD%,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,2,25,67,9,15%,157,24,30,31,3,90,15,21,2,9,2,4,0,2,2,48,31%
CGY,5,20,77,5,12%,160,19,34,21,2,92,9,24,1,9,3,12,4,2,0,58,36%
EDM,3,26,78,6,13%,144,19,12,17,3,88,10,25,4,9,1,5,1,0,0,49,34%
HAM,4,26,59,6,11%,133,15,23,25,1,68,6,24,4,11,3,3,0,2,1,48,36%
MTL,4,21,58,8,13%,135,17,27,28,1,67,8,29,6,5,1,5,1,1,0,44,33%
OTT,3,23,73,14,11%,160,17,30,28,1,88,7,28,3,4,2,9,4,3,0,63,39%
SSK,4,24,72,6,12%,147,18,23,22,1,82,9,22,3,10,1,10,3,1,1,54,37%
TOR,1,12,58,5,25%,120,30,14,18,1,57,14,24,5,10,4,11,6,0,0,37,31%
WPG,2,22,59,12,23%,156,36,25,19,4,91,17,25,7,13,4,7,4,1,0,56,36%
CFL,28,199,601,71,,"1,312",195,218,209,17,723,95,222,35,80,21,66,23,12,4,457,35%
