Team,GP,Yards,Per G,Rank,Plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,11,"3,985",362.3,3,618,6.45,190,16,"3,387",835,-237,31%,67%,3%,381,31
CGY,11,"3,612",328.4,5,610,5.92,208,5,"2,798",978,-164,34%,65%,1%,376,21
EDM,11,"3,525",320.5,7,536,6.58,214,5,"2,562","1,138",-175,40%,59%,1%,291,26
HAM,10,"3,266",326.6,6,527,6.20,168,5,"2,565",875,-174,32%,67%,1%,326,28
MTL,10,"3,197",319.7,8,531,6.02,203,13,"2,501",981,-285,38%,59%,2%,278,37
OTT,11,"3,305",300.5,9,621,5.32,255,15,"2,230","1,398",-323,41%,57%,2%,309,42
SSK,10,"3,441",344.1,4,575,5.98,195,5,"2,744",872,-175,34%,65%,1%,344,31
TOR,9,"3,428",380.9,2,448,7.65,202,6,"2,465","1,042",-79,45%,54%,1%,230,10
WPG,11,"4,295",390.5,1,614,7.00,253,22,"3,128","1,388",-221,41%,55%,4%,314,25
CFL,47,"32,054",682.0,,"5,080",6.31,"1,888",92,"24,380","9,507","-1,833",37%,61%,2%,"2,849",251
