Team,Att,Md,Fail,Opp_Att,Opp_Md,Opp_%
BC,15,12,3,12,8,67%
CGY,15,13,2,14,10,71%
EDM,15,12,3,16,13,81%
HAM,10,8,2,16,14,88%
MTL,9,7,2,14,13,93%
OTT,20,18,2,13,9,69%
SSK,22,17,5,12,9,75%
TOR,8,3,5,15,14,93%
WPG,13,10,3,15,10,67%
CFL,127,100,27,127,100,79%
