Team,,C2,FG,Sgl,S/T,TM_TDs_FR,TM_TDs_PR,TM_TDs_KOR,TM_TDs_FGM,TD,C1,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,,0,30,6,0,2,0,0,0,26,23,4,20,0,62,85,45,83,0
CGY,,1,34,3,0,2,0,0,0,21,15,7,12,0,46,87,51,55,9
EDM,,1,12,7,0,0,0,0,0,21,17,7,12,2,36,66,49,37,0
HAM,,2,23,3,0,2,0,1,0,19,10,8,7,1,19,61,66,54,0
MTL,,1,27,1,0,1,1,0,0,23,19,8,9,4,44,66,46,85,0
OTT,,5,30,5,0,1,1,0,0,22,14,11,6,3,46,81,36,74,14
SSK,,1,23,3,0,0,2,0,0,20,16,5,13,0,41,42,58,63,6
TOR,,2,14,7,0,0,4,0,0,37,32,14,16,3,70,102,64,71,0
WPG,,0,25,3,2,0,1,0,0,38,34,11,25,1,76,84,111,70,3
CFL,,13,218,38,2,8,9,1,0,227,180,75,120,14,440,674,526,592,32
