Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,70.5,61.7,35.7,244,118,48.4,44,31,60,37,140,50,"1,926",7.89
CGY,75.9,35.6,31.9,255,109,42.7,58,44,59,21,138,44,"1,857",7.28
EDM,60.5,49.1,36.1,215,95,44.2,43,26,53,26,119,43,"1,624",7.55
HAM,71.0,52.0,39.3,216,101,46.8,31,22,50,26,135,53,"1,717",7.95
MTL,71.1,51.7,35.0,216,99,45.8,38,27,58,30,120,42,"1,591",7.37
OTT,66.0,49.2,28.6,246,100,40.7,47,31,59,29,140,40,"1,724",7.01
SSK,58.3,41.7,35.6,231,96,41.6,48,28,48,20,135,48,"1,736",7.52
TOR,79.1,56.3,39.1,178,95,53.4,43,34,48,27,87,34,"1,353",7.60
WPG,77.6,60.3,38.1,240,127,52.9,49,38,73,44,118,45,"1,608",6.70
CFL,70.1,51.2,35.2,"2,041",940,46.1,401,281,508,260,"1,132",399,"15,136",7.42
