Team,Punt_returns_TD,Punt_returns_30+,Punt_returns_10+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,2,,1,3,2,5,57,622,10.9,44,33,737,22.3,62,0,3,94,48,0,0,0,0,0
CGY,0,3,,2,5,1,6,57,693,12.2,45,44,938,21.3,47,0,3,135,86,0,0,0,0,0
EDM,0,2,,2,8,1,5,47,454,9.7,52,40,819,20.5,72,0,3,57,30,0,0,0,0,0
HAM,0,2,,5,2,1,8,41,409,10.0,39,40,924,23.1,71,1,2,69,47,0,0,1,0,1
MTL,1,1,,0,4,0,1,43,359,8.3,77,39,860,22.1,39,0,2,23,12,0,1,0,0,1
OTT,1,3,,0,T6,0,3,57,572,10.0,79,43,897,20.9,39,0,0,0,0,0,1,0,0,1
SSK,2,2,,2,1,0,4,58,607,10.5,94,42,974,23.2,82,0,1,29,29,0,2,0,0,2
TOR,4,8,,1,9,0,9,55,824,15.0,91,30,549,18.3,41,0,0,0,0,0,4,0,0,4
WPG,1,2,,3,T6,1,6,51,573,11.2,92,26,543,20.9,43,0,4,185,102,0,1,0,0,1
CFL,9,25,195,16,,6,47,466,"5,113",11.0,94,337,"7,241",21.5,82,1,18,592,102,0,9,1,0,10
