Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+_yds_TD,20+_yds_Effic
BC,237,169,71.3,1282,5,1,76.7,60,38,63.3,593,1,5,116.9,49,16,32.7,668,2,4,96.3
CGY,210,171,81.4,1438,1,4,102.8,68,35,51.5,569,5,3,63.9,56,17,30.4,698,2,10,124.0
EDM,166,124,74.7,985,3,5,91.6,76,50,65.8,904,2,1,99.9,58,30,51.7,927,3,8,136.2
HAM,161,123,76.4,1205,3,6,101.6,75,45,60.0,839,3,2,90.9,47,23,48.9,731,3,5,116.5
MTL,199,144,72.4,1148,7,2,75.1,47,23,48.9,377,4,0,40.8,61,25,41.0,782,5,8,99.2
OTT,195,153,78.5,1622,6,8,103.0,86,50,58.1,887,3,2,86.7,61,27,44.3,1075,7,8,108.3
SSK,156,120,76.9,1116,2,2,94.9,65,37,56.9,627,3,3,85.9,61,21,34.4,711,6,7,76.6
TOR,206,168,81.6,1357,4,5,97.5,52,36,69.2,625,4,2,90.6,60,24,40.0,776,6,11,108.8
WPG,198,139,70.2,1089,6,3,75.9,78,40,51.3,613,3,1,65.8,61,20,32.8,736,3,4,81.0
CFL,"1,728","1,311",75.9,"11,242",37,36,90.4,607,354,58.3,6034,28,19,83.3,514,203,39.5,"7,104",37,65,104.7
