Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,17,2,19,1.73
CGY,10,4,14,1.27
EDM,6,7,13,1.18
HAM,15,2,17,1.70
MTL,14,7,21,2.10
OTT,5,2,7,0.64
SSK,3,4,7,0.70
TOR,6,1,7,0.78
WPG,11,0,11,1.00
CFL,87,29,116,2.47
