Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.7,80,5,3,1,1,T4,67,"3,129",49,469,9.6,91,36.7,"2,460",(52),-130,+81,"2,359",35.2
CGY,48.2,77,3,9,4,6,6,77,"3,709",61,770,12.6,94,36.6,"2,819",(41),-100,+118,"2,796",36.3
EDM,45.4,85,5,2,0,3,9,78,"3,545",54,614,11.4,44,35.0,"2,731",(52),-170,+113,"2,622",33.6
HAM,45.0,78,1,5,1,1,T4,60,"2,698",49,457,9.3,77,36.7,"2,201",(17),-55,+60,"2,189",36.5
MTL,47.6,67,0,3,0,2,T1,58,"2,763",49,462,9.4,48,39.7,"2,301",(0),-57,+30,"2,274",39.2
OTT,48.7,74,3,7,1,4,T1,73,"3,555",58,540,9.3,79,39.7,"2,895",(48),-125,+78,"2,800",38.4
SSK,47.2,90,1,6,2,4,8,72,"3,395",57,776,13.6,92,35.8,"2,579",(20),-116,+25,"2,468",34.3
TOR,48.8,75,4,7,0,2,3,58,"2,831",45,487,10.8,52,37.7,"2,184",(52),-60,+28,"2,100",36.2
WPG,46.4,73,2,8,0,2,7,59,"2,740",44,538,12.2,45,36.0,"2,122",(2),-65,+70,"2,125",36.0
CFL,47.1,90,24,50,9,25,,602,"28,365",466,"5,113",11.0,94,37.0,"22,292",(284),-878,+603,"21,733",36.1
