Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,Rank,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,1,3,6,41,"2,515",61.3,40,821,20.5,82,40,"2,505",62.6,"1,393",35.7
CGY,82,0,0,0,2,3,34,"2,263",66.6,34,760,22.4,42,34,"2,263",66.6,"1,214",36.8
EDM,100,1,1,0,2,9,33,"1,814",55.0,29,447,15.4,62,33,"1,814",55.0,"1,286",41.5
HAM,79,0,0,0,2,7,34,"2,017",59.3,31,592,19.1,43,33,"2,004",60.7,"1,324",40.1
MTL,77,0,0,0,0,4,37,"2,462",66.5,37,813,22.0,37,37,"2,462",66.5,"1,286",35.7
OTT,77,0,0,0,0,8,34,"2,051",60.3,33,618,18.7,37,34,"2,051",60.3,"1,285",37.8
SSK,95,1,0,0,1,5,33,"2,025",61.4,31,608,19.6,41,32,"2,014",62.9,"1,226",37.2
TOR,100,2,0,0,3,1,50,"3,617",72.3,48,"1,209",25.2,72,50,"3,617",72.3,"1,697",33.9
WPG,90,1,0,0,3,2,55,"3,708",67.4,54,"1,373",25.4,62,55,"3,708",67.4,"2,065",37.5
CFL,100,6,1,1,16,,351,"22,472",64.0,337,"7,241",21.5,82,348,"22,438",64.5,"12,776",37.1
