Team,TOP,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_YdL,Gp,Games_+,Games_-,avg_Gap
BC,31:03,157,"5,453",34.7,15,4,155,39.4,11,3,8,-4.6
CGY,29:11,160,"6,218",38.9,23,7,156,37.1,11,6,5,+1.7
EDM,28:50,144,"5,320",36.9,14,2,144,33.6,11,8,3,+3.3
HAM,30:42,133,"4,781",35.9,16,4,137,38.6,10,3,7,-2.6
MTL,29:36,135,"4,803",35.6,11,2,140,37.9,10,3,7,-2.3
OTT,30:38,160,"5,904",36.9,16,6,156,37.7,11,5,6,-0.8
SSK,29:46,147,"5,502",37.4,21,5,145,38.1,10,4,6,-0.7
TOR,28:13,120,"4,788",39.9,21,10,129,33.0,9,9,0,+6.9
WPG,31:41,156,"5,883",37.7,21,8,150,37.7,11,6,5,0.0
CFL,,"1,312","48,652",37.1,158,48,"1,312",37.1,,,,
