Team,PA,Avg,Avg,Diff,,PER GAME,Offensive_points_Team,Offensive_points_Avg,Offensive_points_Avg,Offensive_points_Oppt,Offensive_points_Avg,Offensive_points_Avg,GP,PF,Avg,Avg
BC,217,19.7,25.0,+5.3,,CFL-Wide: 4.83,262,23.8,18.0,198,23.8,18.0,11,275,19.7,25.0
CGY,294,26.7,22.5,-4.2,,Offence 4.15,236,21.5,22.8,251,21.5,22.8,11,248,26.7,22.5
EDM,280,25.5,17.1,-8.4,,Return 0.68,175,15.9,24.1,265,15.9,24.1,11,188,25.5,17.1
HAM,261,26.1,20.0,-6.1,,- Kick 0.21,176,17.6,24.7,247,17.6,24.7,10,200,26.1,20.0
MTL,226,22.6,24.1,+1.5,,- Defence 0.47,205,20.5,22.0,220,20.5,22.0,10,241,22.6,24.1
OTT,283,25.7,22.8,-2.9,,,221,20.1,24.5,270,20.1,24.5,11,251,25.7,22.8
SSK,272,27.2,21.0,-6.2,,,197,19.7,24.1,241,19.7,24.1,10,210,27.2,21.0
TOR,206,22.9,34.1,+11.2,,,263,29.2,20.9,188,29.2,20.9,9,307,22.9,34.1
WPG,225,20.5,31.3,+10.8,,,327,29.7,16.5,182,29.7,16.5,11,344,20.5,31.3
CFL,"2,264",48.2,48.2,,,,"2,062",43.9,43.9,"2,062",43.9,43.9,47,"2,264",48.2,48.2
