Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+_yds_TD,20+_yds_Effic
BC,298,220,73.8,1782,6,3,83.5,78,45,57.7,708,1,5,104.0,64,21,32.8,805,4,5,81.8
CGY,262,213,81.3,1797,2,6,102.9,84,40,47.6,656,7,3,51.5,63,21,33.3,833,2,12,135.2
EDM,240,184,76.7,1502,3,8,98.0,104,67,64.4,1220,4,3,98.2,80,38,47.5,1154,5,10,117.4
HAM,223,169,75.8,1680,5,6,96.3,98,59,60.2,1035,4,5,96.3,74,34,45.9,1138,8,9,99.9
MTL,293,216,73.7,1778,8,3,80.8,67,33,49.3,540,5,1,50.6,80,35,43.8,1117,5,11,116.5
OTT,252,201,79.8,2021,6,11,106.6,116,67,57.8,1154,6,3,78.7,81,35,43.2,1339,9,12,110.1
SSK,209,162,77.5,1524,4,5,97.1,80,50,62.5,856,3,5,104.0,90,33,36.7,1119,6,13,104.8
TOR,313,257,82.1,2047,5,6,97.5,80,51,63.8,880,5,5,95.8,79,33,41.8,1027,9,13,98.4
WPG,253,182,71.9,1449,6,4,81.3,99,54,54.5,876,3,1,75.1,74,23,31.1,814,4,4,69.3
CFL,"2,343","1,804",77.0,"15,580",45,52,93.3,806,466,57.8,7925,38,31,84.4,685,273,39.9,"9,346",52,89,103.8
