Team,FGM,T/O,Punt,Oth,TD%,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,3,32,80,10,18%,198,36,37,34,4,115,22,28,4,12,3,7,1,2,2,60,30%
CGY,6,25,93,6,13%,197,25,42,28,2,112,12,30,3,11,4,14,4,2,0,67,34%
EDM,5,32,101,9,16%,199,31,21,22,3,123,18,36,7,12,2,6,1,0,0,64,32%
HAM,6,35,83,9,13%,189,25,31,35,2,100,13,31,5,14,4,7,0,2,1,67,35%
MTL,7,29,76,10,14%,183,25,36,35,3,94,12,38,7,8,1,7,2,1,0,57,31%
OTT,7,29,88,16,13%,203,27,36,33,1,115,14,32,3,9,4,10,4,4,1,76,37%
SSK,6,33,97,8,13%,202,26,32,30,2,111,13,35,4,13,1,12,5,1,1,71,35%
TOR,2,17,80,9,24%,176,43,25,24,2,80,19,35,6,17,5,18,10,2,1,57,32%
WPG,3,27,71,13,25%,193,49,30,22,5,116,25,31,9,15,5,8,5,1,0,62,32%
CFL,45,259,769,90,,"1,740",287,290,263,24,966,148,296,48,111,29,89,32,15,6,581,33%
