Team,,Team,Rsh_att Pass_att,C2_Def,Rsh_att Pass_att,C1_att,C1_md,C1_%,C1_miss,C2_att,C2_md,C2_%
BC,,BC,0 0,0,1 2,36,35,97.2,1,3,0,0.0
CGY,,CGY,0 2,0,0 6,21,20,95.2,1,6,2,33.3
EDM,,EDM,1 0,0,2 2,30,28,93.3,2,4,1,25.0
HAM,,HAM,0 3,1,2 5,22,18,81.8,4,8,4,50.0
MTL,,MTL,0 1,0,0 5,26,25,96.2,1,5,1,20.0
OTT,,OTT,1 4,0,1 6,24,24,100.0,0,7,5,71.4
SSK,,SSK,0 3,0,0 6,23,21,91.3,2,6,3,50.0
TOR,,TOR,1 1,0,2 2,47,43,91.5,4,4,2,50.0
WPG,,WPG,0 0,0,0 1,50,45,90.0,5,1,0,0.0
CFL,,CFL,3 14,1,8 35,279,259,92.8,20,44,18,40.9
