Team,Att,Md,Fail,Opp_Att,Opp_Md,Opp_%
BC,17,13,4,15,11,73%
CGY,20,18,2,17,12,71%
EDM,18,14,4,20,16,80%
HAM,19,17,2,20,17,85%
MTL,16,13,3,19,18,95%
OTT,25,22,3,16,12,75%
SSK,27,21,6,15,12,80%
TOR,9,4,5,25,23,92%
WPG,16,13,3,20,14,70%
CFL,167,135,32,167,135,81%
