Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,8,29,5,85.1,37,5,247,"1,191",4.8,153,773,5.1,73,362,31,254,"1,308",5.1,11
CGY,10,38,4,95.4,47,13,272,"1,335",4.9,182,909,5.0,58,233,15,300,"1,756",5.9,11
EDM,12,64,16,130.5,56,9,317,"1,958",6.2,203,"1,335",6.6,105,749,57,344,"2,020",5.9,16
HAM,10,42,6,90.8,48,11,259,"1,271",4.9,174,865,5.0,51,271,27,312,"1,671",5.4,18
MTL,12,31,7,98.3,52,11,269,"1,376",5.1,180,938,5.2,81,406,32,285,"1,630",5.7,16
OTT,19,59,12,135.7,29,6,346,"1,900",5.5,225,"1,214",5.4,130,780,57,265,"1,099",4.1,12
SSK,8,36,4,83.9,57,10,255,"1,174",4.6,150,756,5.0,61,271,23,333,"1,777",5.3,16
TOR,21,40,10,113.2,27,0,285,"1,472",5.2,198,980,4.9,49,220,17,237,935,3.9,4
WPG,15,53,10,132.1,39,9,323,"1,850",5.7,215,"1,279",5.9,47,165,8,243,"1,331",5.5,11
CFL,115,392,74,214.7,392,74,"2,573","13,527",5.26,"1,680","9,049",5.39,655,"3,457",267,"2,573",13527,5.3,115
