Team,OPP_Tot,Diff,Total,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,18,-1,17,3,9,2,1,2,2,13,1,2,0
CGY,21,+0,21,3,14,2,1,1,5,8,4,1,3
EDM,26,-7,19,5,10,2,2,0,6,15,3,2,0
HAM,29,-10,19,2,10,2,4,1,7,19,1,2,0
MTL,17,+4,21,3,17,1,0,0,4,11,1,0,1
OTT,23,-8,15,6,6,3,0,0,1,20,2,0,0
SSK,19,+3,22,3,15,2,2,0,1,12,4,1,1
TOR,12,+9,21,4,13,4,0,0,0,7,2,3,0
WPG,19,+10,29,3,21,1,3,1,6,10,1,2,0
CFL,184,0,184,32,115,19,13,5,32,115,19,13,5
