Unnamed: 0,On 1st Down,CFL,1ST D CALLS,Opp 1st Dn:,CFL.1
TM,Plays Avg Yd,Rank,Rush  Pass+,Plays Av Yd,Rank
BC,255 6.44,4,99 156,228 6.16,5
CGY,251 6.88,3,107 144,250 6.04,4
EDM,226 6.09,7,85 141,255 6.82,7
HAM,234 6.39,5,89 145,264 8.01,9
MTL,213 6.29,6,95 118,201 5.79,2
OTT,255 5.89,8,110 145,234 7.58,8
SSK,260 5.61,9,78 182,241 6.31,6
TOR,202 6.92,2,109 93,235 5.98,3
WPG,253 7.52,1,119 134,241 5.03,1
CFL,"2,149 6.44",,"891 1,258","2,149 6.44",
