Team,LG,S,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,23,22,95.65217391304348,11,11,100.0,12,11,91.7,2,1,764,34.7,816,35.5
CGY,53,0,27,24,88.88888888888889,13,12,92.3,14,12,85.7,6,6,923,38.5,"1,054",39.0
EDM,45,1,11,8,72.72727272727273,6,5,83.3,5,3,60.0,0,0,245,30.6,371,33.7
HAM,50,1,20,19,95.0,16,16,100.0,4,3,75.0,2,1,546,28.7,597,29.9
MTL,51,1,27,22,81.48148148148148,14,12,85.7,13,10,76.9,2,2,777,35.3,984,36.4
OTT,54,1,28,26,92.85714285714286,16,16,100.0,12,10,83.3,5,4,862,33.2,959,34.3
SSK,54,1,23,19,82.6086956521739,16,15,93.8,7,4,57.1,4,1,528,27.8,718,31.2
TOR,47,1,13,12,92.30769230769232,9,9,100.0,4,3,75.0,1,0,391,32.6,434,33.4
WPG,52,0,19,19,100.0,12,13,108.3,6,6,100.0,2,2,580,32.2,625,32.9
CFL,54,6,191,171,89.52879581151832,113,109,96.5,77,62,80.5,24,17,"5,616",33.0,"6,558",34.3
