Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,11,1,12,1.50
CGY,8,2,10,1.25
EDM,5,6,11,1.38
HAM,12,2,14,1.75
MTL,12,5,17,2.43
OTT,3,0,3,0.38
SSK,3,3,6,0.75
TOR,4,1,5,0.71
WPG,9,0,9,1.13
CFL,67,20,87,2.49
