Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
BC,168,62,36.9,29,18,62.1,46,22,47.8,93,22,23.7,"1,310",7.80
CGY,180,84,46.7,37,29,78.4,50,31,62.0,93,24,25.8,"1,331",7.39
EDM,183,98,53.6,32,26,81.3,50,28,56.0,101,44,43.6,"1,266",6.92
HAM,170,82,48.2,33,24,72.7,38,22,57.9,99,36,36.4,"1,260",7.41
MTL,157,71,45.2,29,19,65.5,38,20,52.6,90,32,35.6,"1,173",7.47
OTT,176,80,45.5,34,23,67.6,43,14,32.6,99,43,43.4,"1,315",7.47
SSK,170,68,40.0,37,24,64.9,35,13,37.1,98,31,31.6,"1,242",7.31
TOR,156,70,44.9,33,20,60.6,31,14,45.2,92,36,39.1,"1,214",7.78
WPG,175,79,45.1,31,24,77.4,47,27,57.4,97,28,28.9,"1,322",7.55
CFL,"1,535",694,45.2,295,207,70.2,378,191,50.5,862,296,34.3,"11,433",7.45
