Team,C1_Miss,C2_Rsh,Pass,Def,C1_att,C1_md,C1_%,C2_att,C2_md,C2_%
BC,1,0,0,0,17,16,94.1,1,0,0.0
CGY,1,0,1,0,12,11,91.7,5,1,20.0
EDM,1,1,0,0,8,7,87.5,3,1,33.3
HAM,3,0,2,0,10,7,70.0,5,2,40.0
MTL,1,0,1,0,12,11,91.7,1,1,100.0
OTT,0,1,4,0,7,7,100.0,5,5,100.0
SSK,1,0,1,0,13,12,92.3,2,1,50.0
TOR,1,1,1,0,24,23,95.8,2,2,100.0
WPG,3,0,0,0,26,23,88.5,0,0,0
CFL,12,3,10,0,129,117,90.7,24,13,54.2
