Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,74.1,60.0,33.7,178,84,47.2,27,20,50,30,101,34,"1,390",7.81
CGY,72.7,38.6,35.4,187,84,44.9,44,32,44,17,99,35,"1,305",6.98
EDM,66.7,45.9,35.5,163,72,44.2,33,22,37,17,93,33,"1,266",7.77
HAM,60.9,52.8,37.2,172,75,43.6,23,14,36,19,113,42,"1,382",8.03
MTL,71.0,55.9,31.0,152,68,44.7,31,22,34,19,87,27,"1,132",7.45
OTT,69.7,47.7,28.4,186,75,40.3,33,23,44,21,109,31,"1,329",7.15
SSK,59.0,45.0,34.6,186,78,41.9,39,23,40,18,107,37,"1,408",7.57
TOR,79.4,51.4,37.7,140,72,51.4,34,27,37,19,69,26,"1,079",7.71
WPG,77.4,55.4,36.9,171,86,50.3,31,24,56,31,84,31,"1,142",6.68
CFL,70.2,50.5,34.3,"1,535",694,45.2,295,207,378,191,862,296,"11,433",7.45
