Team,1st_down_plays,1st_down_avg_yds,Opp_1st_dn_plays,Opp_1st_dn_avg_yds,1st_down_rush_calls,1st_down_pass_calls
BC,255,6.44,228,6.16,99,156
CGY,251,6.88,250,6.04,107,144
EDM,226,6.09,255,6.82,85,141
HAM,234,6.39,264,8.01,89,145
MTL,213,6.29,201,5.79,95,118
OTT,255,5.89,234,7.58,110,145
SSK,260,5.61,241,6.31,78,182
TOR,202,6.92,235,5.98,109,93
WPG,253,7.52,241,5.03,119,134
CFL,"2,149",6.44,"2,149",6.44,891,"1,258"
