Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,47.1,80,5,3,1,1,7,52,"2,447",35,371,10.6,91,36.1,"1,876",(52),-115,+71,"1,780",34.2
CGY,49.8,77,3,7,3,4,T3,54,"2,687",45,544,12.1,94,37.5,"2,023",(41),-45,+61,"1,998",37.0
EDM,46.3,85,5,2,0,3,9,63,"2,919",47,565,12.0,44,34.2,"2,154",(52),-115,+68,"2,055",32.6
HAM,45.1,78,1,4,1,1,6,52,"2,345",42,391,9.3,77,36.8,"1,914",(17),-55,+60,"1,902",36.6
MTL,48.2,67,0,2,0,1,2,39,"1,881",33,300,9.1,33,40.5,"1,581",(0),-17,+20,"1,584",40.6
OTT,49.0,74,2,4,0,2,1,54,"2,648",43,345,8.0,36,41.2,"2,223",(32),-75,+68,"2,184",40.4
SSK,48.7,90,1,3,2,4,8,54,"2,630",45,684,15.2,92,35.3,"1,906",(20),-61,+20,"1,845",34.2
TOR,48.8,66,3,6,0,2,T3,47,"2,294",38,411,10.8,52,37.5,"1,763",(32),-45,+28,"1,714",36.5
WPG,47.1,73,2,6,0,1,5,43,"2,027",31,343,11.1,35,37.3,"1,604",(2),-55,+63,"1,610",37.4
CFL,47.8,90,22,37,7,19,,458,"21,878",359,"3,954",11.0,94,37.2,"17,044",(248),-583,+459,"16,672",36.4
