Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.7,80,5,3,1,2,5,72,"3,359",54,547,10.1,91,36.3,"2,612",(52),-130,+91,"2,521",35.0
CGY,48.3,77,4,9,4,6,4,81,"3,915",64,804,12.6,94,36.4,"2,951",(51),-100,+118,"2,918",36.0
EDM,46.1,85,6,2,0,4,9,83,"3,823",57,673,11.8,54,35.1,"2,910",(72),-185,+113,"2,766",33.3
HAM,44.5,78,1,5,1,2,8,66,"2,939",52,532,10.2,77,35.9,"2,367",(17),-85,+60,"2,325",35.2
MTL,47.4,67,0,4,0,2,2,61,"2,892",51,475,9.3,48,39.6,"2,417",(0),-57,+35,"2,395",39.3
OTT,48.7,74,3,7,1,4,1,73,"3,555",58,540,9.3,79,39.7,"2,895",(48),-125,+78,"2,800",38.4
SSK,47.9,90,3,6,2,4,7,81,"3,876",64,833,13.0,92,36.1,"2,923",(35),-116,+25,"2,797",34.5
TOR,48.4,75,5,7,0,2,3,62,"3,001",47,515,11.0,52,36.9,"2,286",(62),-60,+28,"2,192",35.4
WPG,46.6,73,2,9,0,2,6,67,"3,124",50,620,12.4,45,36.2,"2,424",(2),-65,+70,"2,427",36.2
CFL,47.2,90,29,52,9,28,,646,"30,484",497,"5,539",11.1,94,36.8,"23,785",(339),-923,+618,"23,141",35.8
