Team,1st_downs_made_Tot,1st_downs_made_Rush,1st_downs_made_Pass,1st_downs_made_Pen,Opp_1st_downs_made_Tot,Opp_1st_downs_made_Rush,Opp_1st_downs_made_Pass
BC,254,70,161,23,218,70,126
CGY,220,76,128,16,240,100,124
EDM,207,80,108,19,258,100,132
HAM,200,64,123,13,231,85,129
MTL,208,67,122,19,206,75,112
OTT,195,84,94,17,211,54,144
SSK,211,67,133,11,194,72,110
TOR,199,76,109,14,209,60,133
WPG,256,93,138,25,183,61,106
CFL,1950,677,"1,116",157,"1,950",677,1116
