Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,0,30,2,0,1,1,0,22,18,8,11,1,0,44,85,53,60,0
CGY,3,29,8,0,4,0,0,33,26,7,19,3,0,76,91,67,77,14
EDM,3,32,8,1,0,0,0,30,23,14,14,2,0,41,81,99,94,0
HAM,1,25,3,1,1,0,0,32,28,14,16,1,0,73,85,49,95,0
MTL,0,28,3,0,0,0,0,25,23,11,13,0,1,54,79,66,61,0
OTT,1,26,5,0,1,0,0,30,18,10,18,0,1,58,83,82,51,9
SSK,1,29,7,0,2,0,0,30,26,11,14,1,2,47,82,62,102,9
TOR,3,15,1,0,0,0,0,27,20,3,21,2,1,31,85,41,77,0
WPG,4,27,8,0,0,0,0,24,16,9,8,4,3,60,57,63,63,14
CFL,16,241,45,2,9,1,0,253,198,87,134,14,8,484,728,582,680,46
