Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,7,29,92,25 (3),8,-5,8,14,6,10,24,59
CGY,5,23,58,21 (2),6,-2,4,14,7,8,21,45
EDM,8,27,59,26 (1),5,-9,5,14,4,9,18,21
HAM,7,29,77,28 (1),5,-5,7,15,8,11,24,67
MTL,4,24,70,23 (1),6,+3,9,11,5,16,27,63
OTT,8,25,42,23 (2),5,+5,6,11,9,16,30,86
SSK,9,25,55,24 (1),4,-4,7,9,5,12,21,35
TOR,4,15,37,14 (1),6,+11,1,10,5,15,26,98
WPG,5,24,72,23 (1),12,+6,9,10,7,11,30,88
CFL,57,221,562,207 (13),57,2023,56,108,56,108,221,562
