Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,5,22,3,79.8,30,5,212,957,4.5,130,612,4.7,60,262,21,208,"1,104",5.3,8
CGY,10,29,3,90.4,37,9,225,"1,085",4.8,154,766,5.0,47,188,12,256,"1,424",5.6,7
EDM,8,43,10,114.8,46,8,244,"1,377",5.6,154,935,6.1,82,547,41,280,"1,659",5.9,14
HAM,8,34,4,87.2,35,9,189,959,5.1,127,653,5.1,38,197,19,246,"1,316",5.3,14
MTL,9,26,7,107.0,39,8,223,"1,177",5.3,152,822,5.4,68,357,30,222,"1,266",5.7,11
OTT,11,42,9,127.1,19,4,255,"1,398",5.5,167,874,5.2,100,631,48,219,857,3.9,10
SSK,7,26,4,85.4,33,3,212,939,4.4,122,592,4.9,51,250,19,238,"1,056",4.4,11
TOR,16,31,8,116.6,24,0,223,"1,166",5.2,153,776,5.1,41,195,11,192,783,4.1,3
WPG,13,42,6,124.5,32,8,275,"1,494",5.4,185,"1,038",5.6,38,124,5,197,"1,087",5.5,9
CFL,87,295,54,206.9,295,54,"2,058","10,552",5.13,"1,344","7,068",5.26,525,"2,751",206,"2,058",10552,5.1,87
