Team,FGM,T/O,Punt,Oth,TD%,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,2,25,72,10,17%,169,28,32,33,4,100,18,21,2,9,2,4,0,2,2,52,31%
CGY,5,21,81,5,13%,172,22,38,23,2,99,11,26,2,9,3,13,4,2,0,62,36%
EDM,3,26,83,7,14%,156,22,15,17,3,98,12,25,4,11,2,5,1,0,0,51,33%
HAM,5,28,65,6,12%,147,18,25,28,1,76,8,25,4,12,4,4,0,2,1,54,37%
MTL,5,23,61,8,13%,147,19,31,29,2,74,9,33,6,5,1,5,1,1,0,45,31%
OTT,3,23,73,14,11%,160,17,30,28,1,88,7,28,3,4,2,9,4,3,0,63,39%
SSK,4,24,81,6,12%,163,20,28,25,2,87,9,28,3,11,1,11,4,1,1,60,37%
TOR,1,14,62,7,26%,135,35,16,19,1,61,16,28,5,12,4,14,9,1,0,42,31%
WPG,2,23,67,13,23%,171,40,26,20,5,103,19,26,7,13,4,8,5,1,0,61,36%
CFL,30,207,645,76,,"1,420",221,241,222,21,786,109,240,36,86,23,73,28,13,4,490,35%
