Team,,C2,FG,Sgl,S/T,TM_TDs_FR,TM_TDs_PR,TM_TDs_KOR,TM_TDs_FGM,TD,C1,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,,0,32,6,0,2,0,0,0,30,27,5,23,0,69,95,52,93,0
CGY,,2,38,4,0,2,0,0,0,24,17,10,12,0,50,93,54,77,9
EDM,,1,15,8,0,0,0,0,0,24,20,8,14,2,43,77,59,40,0
HAM,,3,25,4,0,2,0,1,0,22,11,8,10,1,19,65,75,69,0
MTL,,1,31,2,0,1,1,0,0,25,19,9,10,4,50,72,53,91,0
OTT,,5,30,5,0,1,1,0,0,22,14,11,6,3,46,81,36,74,14
SSK,,2,28,5,0,0,2,0,0,22,17,7,13,0,44,52,64,68,14
TOR,,2,16,8,0,0,4,0,0,42,36,16,19,3,87,102,71,88,0
WPG,,0,26,3,2,0,1,0,0,42,37,13,27,1,76,91,118,80,9
CFL,,16,241,45,2,8,9,1,0,253,198,87,134,14,484,728,582,680,46
