Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,110.3,8,99.8,99,87,87.9,751,0,1,41,26,63.4,453,5,1,58.3,53,22,41.5,563,4
CGY,90.5,4,90.8,132,96,72.7,921,2,2,50,25,50.0,384,4,2,55.8,27,9,33.3,375,3
EDM,81.9,4,96.7,134,95,70.9,846,5,4,46,20,43.5,328,2,0,49.9,28,12,42.9,476,4
HAM,79.1,3,81.1,126,94,74.6,770,4,1,39,21,53.8,342,2,0,62.1,41,14,34.1,458,2
MTL,97.7,3,126.0,94,74,78.7,697,1,1,27,15,55.6,281,1,1,88.7,27,12,44.4,423,1
OTT,90.0,1,-19.4,127,96,75.6,780,1,1,49,23,46.9,382,4,1,46.5,19,4,21.1,142,4
SSK,93.0,3,77.3,123,97,78.9,725,3,4,49,33,67.3,521,0,1,109.3,34,12,35.3,434,3
TOR,86.1,5,186.7,70,56,80.0,492,2,0,29,18,62.1,371,1,2,115.7,29,17,58.6,545,0
WPG,108.5,6,148.7,111,92,82.9,794,2,5,50,31,62.0,529,2,2,94.5,41,17,41.5,623,0
CFL,92.5,37,103.5,"1,016",787,77.5,"6,776",20,19,380,212,55.8,3591,21,10,73.7,299,119,39.8,"4,039",21
