Team,C1_Miss,C2_Rsh,Pass,Def,C1_att,C1_md,C1_%,C2_att,C2_Md,C2_%
BC,1,0,0,0,15,14,93.3,0,0,0.0
CGY,1,0,1,0,10,9,90.0,5,1,20.0
EDM,1,1,0,0,8,7,87.5,3,1,33.3
HAM,2,0,2,0,7,5,71.4,5,2,40.0
MTL,0,0,0,0,10,10,100.0,0,0,0.0
OTT,0,1,4,0,6,6,100.0,5,5,100.0
SSK,1,0,1,0,10,9,90.0,2,1,50.0
TOR,1,1,0,0,21,20,95.2,1,1,100.0
WPG,2,0,0,0,20,18,90.0,0,0,0.0
CFL,9,3,8,0,107,98,91.6,21,11,52.4
