Team,LG,S,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,17,16,94.11764705882352,7,7,100.0,10,9,90.0,2,1,593,37.1,645,37.9
CGY,53,0,19,16,84.21052631578947,10,9,90.0,9,7,77.8,4,4,594,37.1,725,38.2
EDM,45,1,10,8,80.0,6,5,83.3,4,3,75.0,0,0,245,30.6,323,32.3
HAM,50,0,16,16,100.0,14,14,100.0,2,2,100.0,1,1,464,29.0,464,29.0
MTL,51,0,14,12,85.71428571428571,6,6,100.0,8,6,75.0,1,1,435,36.3,522,37.3
OTT,50,0,18,17,94.44444444444444,11,11,100.0,7,6,85.7,1,1,549,32.3,594,33.0
SSK,46,1,17,13,76.47058823529412,12,11,91.7,5,2,40.0,3,0,330,25.4,520,30.6
TOR,47,1,10,9,90.0,6,6,100.0,4,3,75.0,1,0,287,31.9,330,33.0
WPG,52,0,16,16,100.0,9,10,111.1,6,6,100.0,2,2,504,33.6,549,34.3
CFL,53,3,137,123,89.78102189781022,81,79,97.5,55,44,80.0,15,10,"4,001",32.8,"4,672",34.1
