Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,68.2,60.6,33.3,127,59,46.5,22,15,33,20,72,24,995,7.83
CGY,77.4,37.5,31.0,134,58,43.3,31,24,32,12,71,22,945,7.05
EDM,66.7,47.1,37.5,144,66,45.8,30,20,34,16,80,30,"1,096",7.61
HAM,63.2,56.0,32.9,129,54,41.9,19,12,25,14,85,28,"1,044",8.09
MTL,65.0,48.0,35.9,109,48,44.0,20,13,25,12,64,23,825,7.57
OTT,87.5,55.6,31.0,144,67,46.5,24,21,36,20,84,26,"1,014",7.04
SSK,60.9,51.6,33.7,137,58,42.3,23,14,31,16,83,28,"1,056",7.71
TOR,83.3,53.1,44.0,106,59,55.7,24,20,32,17,50,22,791,7.46
WPG,76.0,56.9,38.0,155,78,50.3,25,19,51,29,79,30,"1,051",6.78
CFL,72.5,52.2,34.9,"1,185",547,46.2,218,158,299,156,668,233,"8,817",7.44
