Team,Opp_Fail,Att,Md,Fail,Opp_Att,Opp_Md
BC,3,7,7,0,10,7
CGY,3,6,5,1,10,7
EDM,3,9,7,2,8,5
HAM,1,8,6,2,8,7
MTL,1,5,4,1,5,4
OTT,2,6,5,1,6,4
SSK,1,14,10,4,6,5
TOR,1,5,2,3,9,8
WPG,2,11,8,3,9,7
