Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+_yds_TD,20+_yds_Effic
BC,136,104,76.5,764,2,0,83.1,37,23,62.2,359,0,2,112.3,29,5,17.2,189,2,0,14.9
CGY,128,108,84.4,897,1,2,103.5,34,19,55.9,334,3,2,72.4,30,7,23.3,307,0,5,119.7
EDM,98,73,74.5,583,2,4,94.0,48,30,62.5,561,2,0,85.5,40,20,50.0,639,3,4,112.4
HAM,91,71,78.0,711,2,4,105.2,57,33,57.9,574,2,1,83.5,29,15,51.7,469,1,4,144.2
MTL,95,71,74.7,563,2,0,80.3,27,12,44.4,196,2,0,38.5,35,18,51.4,582,3,6,135.7
OTT,108,89,82.4,953,2,4,112.2,44,21,47.7,374,3,0,48.9,30,14,46.7,541,3,4,118.9
SSK,110,82,74.5,789,2,1,89.5,44,23,52.3,404,3,3,78.2,31,10,32.3,361,3,3,69.4
TOR,114,94,82.5,804,3,2,95.1,32,20,62.5,311,4,1,53.0,37,15,40.5,413,5,7,89.1
WPG,136,95,69.9,712,4,2,74.8,57,31,54.4,478,2,1,73.6,38,15,39.5,538,1,4,118.1
CFL,"1,016",787,77.5,"6,776",20,19,92.5,380,212,55.8,3591,21,10,73.7,299,119,39.8,"4,039",21,37,103.5
