Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,8,1,9,1.50
CGY,7,2,9,1.50
EDM,4,5,9,1.29
HAM,9,2,11,1.83
MTL,12,5,17,3.40
OTT,3,0,3,0.50
SSK,3,2,5,0.83
TOR,3,1,4,0.80
WPG,8,0,8,1.14
CFL,57,18,75,2.78
