Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,0,15,1,0,1,0,0,7,6,3,2,1,0,17,33,19,25,0
CGY,3,12,5,0,3,0,0,18,12,5,9,0,0,29,40,37,47,14
EDM,2,20,3,1,0,0,0,17,14,7,8,2,0,30,42,71,42,0
HAM,0,12,2,1,1,0,0,21,19,10,9,1,0,46,62,30,47,0
MTL,0,13,2,0,0,0,0,10,10,3,6,0,1,27,29,33,22,0
OTT,1,15,4,0,0,0,0,14,7,5,8,0,1,38,33,35,27,9
SSK,0,15,5,0,1,0,0,14,13,6,7,0,0,20,43,35,46,3
TOR,2,7,0,0,0,0,0,13,8,2,10,1,0,14,36,9,52,0
WPG,3,13,3,0,0,0,0,15,9,5,7,1,2,28,27,40,46,6
CFL,11,122,25,2,6,0,0,129,98,46,66,6,4,249,345,309,354,32
