Team,GP,Yards,Per G,Rank,Plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,6,"2,152",358.7,3,327,6.58,111,9,"1,767",506,-121,34%,63%,3%,193,14
CGY,6,"2,127",354.5,4,331,6.43,108,3,"1,680",523,-76,33%,66%,1%,209,11
EDM,7,"2,103",300.4,9,352,5.97,122,1,"1,650",592,-139,35%,65%,0%,208,21
HAM,6,"1,960",326.7,6,323,6.07,100,4,"1,570",492,-102,31%,68%,1%,206,13
MTL,5,"1,610",322.0,7,270,5.96,90,6,"1,401",403,-194,33%,64%,2%,148,26
OTT,6,"1,907",317.8,8,355,5.37,128,12,"1,304",774,-171,36%,61%,3%,195,20
SSK,6,"2,113",352.2,5,346,6.11,113,4,"1,680",550,-117,33%,66%,1%,206,23
TOR,5,"2,007",401.4,1,262,7.66,127,1,"1,408",648,-49,48%,51%,0%,128,6
WPG,7,"2,562",366.0,2,395,6.49,161,14,"1,946",783,-167,41%,56%,4%,202,18
CFL,27,"18,541",686.7,,"2,961",6.26,"1,060",54,"14,406","5,271","-1,136",36%,62%,2%,"1,695",152
