Team,Int,TD,LG,30+,2D_conversions,TDI,PerG,Avg_depth,Yds,SA,Runs,Dropbacks,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC
BC,4,2,47,5,30,0.50,219,9.3,"1,879",24,7,233,202,132,65.3,"1,312",78.7,2.0,6.5,558
CGY,4,9,68,6,31,2.25,256,9.6,"1,844",21,8,221,192,134,69.8,"1,538",100.6,2.1,8.0,719
EDM,7,8,70,14,40,1.14,255,11.6,"2,151",12,7,205,186,123,66.1,"1,783",95.8,3.8,9.6,620
HAM,5,9,59,14,39,1.80,292,11.3,"2,003",15,9,201,177,119,67.2,"1,754",104.6,2.8,9.9,661
MTL,7,6,68,10,35,0.86,268,12.1,"1,898",7,6,170,157,101,64.3,"1,341",85.4,4.5,8.5,391
OTT,8,8,95,17,36,1.00,311,10.4,"1,892",20,6,208,182,124,68.1,"1,868",98.0,4.4,10.3,882
SSK,8,7,102,12,30,0.88,259,10.5,"1,941",11,15,211,185,115,62.2,"1,554",83.5,4.3,8.4,714
TOR,12,10,84,3,27,0.83,306,10.3,"1,883",17,9,209,183,129,70.5,"1,528",86.5,6.6,8.3,658
WPG,7,7,80,10,39,1.00,247,11.1,"2,563",25,21,277,231,141,61.0,"1,728",81.6,3.0,7.5,539
CFL,62,66,102,91,307,1.06,534,10.7,"18,054",152,88,"1,935","1,695","1,118",66.0,"14,406",90.2,3.7,8.5,"5,742"
