Team,GP,Yards,Per G,Plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,6,"1,558",259.7,319,4.88,93,0,"1,312",426,-180,29%,71%,0%,202,24
CGY,6,"2,123",353.8,359,5.91,136,10,"1,538",723,-138,38%,59%,3%,192,21
EDM,7,"2,719",388.4,389,6.99,174,17,"1,783","1,014",-78,45%,51%,4%,186,12
HAM,6,"2,312",385.3,330,7.01,131,7,"1,754",694,-136,40%,58%,2%,177,15
MTL,5,"1,759",351.8,264,6.66,92,8,"1,341",489,-71,35%,62%,3%,157,7
OTT,6,"2,112",352.0,320,6.60,113,5,"1,868",398,-154,35%,63%,2%,182,20
SSK,6,"2,016",336.0,325,6.20,125,4,"1,554",539,-77,38%,60%,1%,185,11
TOR,5,"1,729",345.8,285,6.07,84,1,"1,528",324,-123,29%,70%,0%,183,17
WPG,7,"2,213",316.1,370,5.98,112,2,"1,728",664,-179,30%,69%,1%,231,25
CFL,27,"18,541",686.7,"2,961",6.26,"1,060",54,"14,406","5,271","-1,136",36%,62%,2%,"1,695",152
