Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,Rank,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,0,2,5,23,"1,457",63.3,22,453,20.6,43,23,"1,457",63.3,807,36.7
CGY,82,0,0,0,1,4,24,"1,599",66.6,24,521,21.7,42,24,"1,599",66.6,834,36.3
EDM,68,0,1,0,2,9,20,977,48.9,19,276,14.5,62,20,977,48.9,796,44.2
HAM,79,0,0,0,2,6,21,"1,237",58.9,18,362,20.1,43,20,"1,224",61.2,834,41.7
MTL,75,0,0,0,0,3,17,"1,137",66.9,17,379,22.3,32,17,"1,137",66.9,567,35.4
OTT,77,0,0,0,0,8,18,"1,081",60.1,17,282,16.6,34,18,"1,081",60.1,644,35.8
SSK,95,1,0,0,1,7,20,"1,215",60.8,19,351,18.5,41,20,"1,215",60.8,754,37.7
TOR,98,1,0,0,3,1,29,"2,095",72.2,28,753,26.9,72,29,"2,095",72.2,"1,018",35.1
WPG,90,1,0,0,1,2,31,"2,095",67.6,30,698,23.3,40,31,"2,095",67.6,"1,098",35.4
CFL,98,4,1,0,12,,203,"12,893",63.5,194,"4,075",21.0,72,202,"12,880",63.8,"7,352",37.3
