Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
BC,133,48,36.1,20,11,55.0,38,19,50.0,75,18,24.0,"1,049",7.89
CGY,140,67,47.9,27,23,85.2,43,27,62.8,70,17,24.3,"1,013",7.24
EDM,155,82,52.9,30,24,80.0,40,21,52.5,85,37,43.5,"1,043",6.73
HAM,128,67,52.3,23,17,73.9,31,17,54.8,74,33,44.6,938,7.33
MTL,110,51,46.4,20,14,70.0,25,15,60.0,65,22,33.8,833,7.57
OTT,130,59,45.4,25,18,72.0,35,12,34.3,70,29,41.4,980,7.54
SSK,133,59,44.4,27,19,70.4,27,12,44.4,79,28,35.4,972,7.31
TOR,104,44,42.3,18,11,61.1,20,9,45.0,66,24,36.4,839,8.07
WPG,152,70,46.1,28,21,75.0,40,24,60.0,84,25,29.8,"1,150",7.57
CFL,"1,185",547,46.2,218,158,72.5,299,156,52.2,668,233,34.9,"8,817",7.44
