Team,1st_down_plays,1st_down_avg_yds,Opp_1st_dn_plays,Opp_1st_dn_avg_yds,1st_down_rush_calls,1st_down_pass_calls
BC,189,6.78,174,5.24,71,118
CGY,188,7.54,201,6.38,78,110
EDM,203,6.33,220,6.91,78,125
HAM,186,6.16,200,8.16,70,116
MTL,149,5.85,144,6.02,62,87
OTT,196,5.91,179,7.35,79,117
SSK,191,4.97,186,6.57,61,130
TOR,157,7.64,167,5.93,89,68
WPG,222,6.77,210,5.1,107,115
CFL,"1,681",6.43,"1,681",6.43,695,986
