Team,Acc,Decl,Yards,GP,ALL,Avg,Off,Def,SpTm,ST_cover_Punt,ST_cover_K/Os,ST_return_PtR,ST_return_KOR
BC,51,6,512,6,57,9.5,21,18,18,8,1,8,1
CGY,40,9,399,6,49,8.2,12,21,16,5,2,7,2
EDM,55,10,591,7,65,9.3,19,27,19,7,3,4,5
HAM,58,8,624,6,66,11.0,20,23,23,7,5,9,2
MTL,35,7,369,5,42,8.4,12,12,18,0,1,12,5
OTT,31,5,297,6,36,6.0,15,11,10,5,2,3,0
SSK,31,5,262,6,36,6.0,15,12,9,4,0,3,2
TOR,48,4,525,5,52,10.4,27,17,8,2,2,3,1
WPG,33,8,340,7,41,5.9,18,12,11,3,0,8,0
CFL,382,62,"3,919",2023,444,16.4,159,153,132,41,16,57,18
