Team,PA,Avg,Avg,Diff,,PER GAME,Offensive_points_Team,Offensive_points_Avg,Offensive_points_Avg,Offensive_points_Oppt,Offensive_points_Avg,Offensive_points_Avg,GP,PF,Avg,Avg
BC,334,22.3,28.0,+5.7,,CFL-Wide: 5.10,401,26.7,20.2,303,26.7,20.2,15,420,22.3,28.0
CGY,400,26.7,22.1,-4.5,,Offence 4.52,320,21.3,23.8,357,21.3,23.8,15,332,26.7,22.1
EDM,402,26.8,20.6,-6.2,,Return 0.58,288,19.2,25.8,387,19.2,25.8,15,309,26.8,20.6
HAM,393,26.2,21.3,-4.9,,- Kick 0.18,296,19.7,24.7,371,19.7,24.7,15,320,26.2,21.3
MTL,348,23.2,23.7,+0.5,,- Defence 0.40,308,20.5,22.8,342,20.5,22.8,15,356,23.2,23.7
OTT,411,27.4,24.2,-3.2,,,327,21.8,24.9,374,21.8,24.9,15,363,27.4,24.2
SSK,458,30.5,21.9,-8.6,,,310,20.7,28.3,425,20.7,28.3,15,329,30.5,21.9
TOR,309,22.1,32.9,+10.8,,,408,29.1,20.8,291,29.1,20.8,14,460,22.1,32.9
WPG,313,20.9,31.9,+11.1,,,462,30.8,18.0,270,30.8,18.0,15,479,20.9,31.9
CFL,"3,368",50.3,50.3,,,,"3,120",46.6,46.6,"3,120",46.6,46.6,67,"3,368",50.3,50.3
