Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,106.3,21,121.1,267,220,82.4,"1,959",0,4,120,73,60.8,"1,223",12,6,70.2,126,53,42.1,"1,559",7
CGY,83.7,7,101.4,352,255,72.4,"2,079",6,4,99,52,52.5,797,6,4,67.6,69,26,37.7,964,4
EDM,89.9,10,146.3,252,185,73.4,"1,591",7,9,76,33,43.4,572,5,0,42.2,57,29,50.9,"1,093",5
HAM,88.1,8,74.5,310,231,74.5,"2,022",8,7,98,58,59.2,941,4,2,81.2,87,32,36.8,"1,033",8
MTL,97.4,7,78.7,282,228,80.9,"2,072",5,4,86,46,53.5,829,1,3,93.6,66,26,39.4,933,8
OTT,93.3,3,4.9,291,220,75.6,"1,951",3,4,95,62,65.3,979,4,1,85.4,49,11,22.4,373,8
SSK,89.5,8,67.5,319,245,76.8,"1,914",6,6,116,78,67.2,"1,396",2,4,112.6,89,25,28.1,857,6
TOR,98.5,13,133.2,216,167,77.3,"1,559",3,5,78,46,59.0,894,3,5,104.3,77,36,46.8,"1,263",6
WPG,96.0,17,162.5,233,183,78.5,"1,614",9,11,101,60,59.4,"1,043",3,7,105.3,98,46,46.9,"1,692",2
CFL,93.1,94,104.0,"2,522","1,934",76.7,"16,761",47,54,869,508,58.5,8674,40,32,85.5,718,284,39.6,"9,767",54
