Team,Att,Md,Fail,Opp_Att,Opp_Md,Opp_%
BC,17,13,4,19,15,79%
CGY,21,19,2,18,12,67%
EDM,18,14,4,20,16,80%
HAM,20,17,3,21,18,86%
MTL,16,13,3,21,18,86%
OTT,27,22,5,16,12,75%
SSK,31,25,6,15,12,80%
TOR,9,4,5,28,25,89%
WPG,19,15,4,20,14,70%
CFL,178,142,36,178,142,80%
