Team,,Diff,,Total,Per_Game,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_Tot,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,,+4,82.0,36,2.40,5,23,3,2,3,32,5,20,3,4,0
CGY,,-8,68.0,37,2.47,5,25,4,2,1,45,13,19,8,2,3
EDM,,+5,45.0,46,3.07,16,23,2,4,1,41,9,24,6,2,0
HAM,,-6,81.0,39,2.60,6,18,4,8,3,45,12,28,2,2,1
MTL,,+9,70.0,46,3.07,8,27,6,4,1,37,12,19,3,1,2
OTT,,-21,87.0,32,2.13,13,11,6,1,1,53,7,35,7,1,3
SSK,,-16,,35,2.33,4,23,4,3,1,51,10,31,5,3,2
TOR,,+15,,48,3.43,11,26,10,1,0,33,0,19,4,9,1
WPG,,+18,,54,3.60,10,37,2,3,2,36,10,18,3,4,1
CFL,,0,,373,5.57,78,213,41,28,13,373,78,213,41,28,13
