Team,,C2,FG,Sgl,S/T,TM_TDs_FR,TM_TDs_PR,TM_TDs_KOR,TM_TDs_FGM,TD,C1,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,,0,41,7,0,2,0,0,1,42,38,8,31,0,97,125,76,122,0
CGY,,2,47,5,0,2,0,0,0,27,20,10,15,0,56,118,63,86,9
EDM,,1,21,10,1,0,0,0,0,34,28,12,19,3,57,97,73,82,0
HAM,,4,34,5,0,2,0,1,0,31,19,10,17,1,37,95,89,99,0
MTL,,1,37,4,0,2,1,0,0,35,29,13,14,5,67,91,80,118,0
OTT,,7,36,6,0,1,1,0,0,35,25,21,8,4,62,103,74,110,14
SSK,,3,33,8,0,0,3,0,0,32,24,11,18,0,65,74,79,97,14
TOR,,2,27,10,1,0,4,0,0,53,45,22,23,4,144,115,88,113,0
WPG,,0,36,3,2,0,1,0,0,53,46,16,35,1,103,135,124,108,9
CFL,,20,312,58,4,9,10,1,1,342,274,123,180,18,688,953,746,935,46
