Team,Team Oppt,1st_down_plays,1st_down_avg_yds,Opp_1st_dn_plays,Opp_1st_dn_avg_yds,1st_down_rush_calls,1st_down_pass_calls
BC,"3,486 2,802",482,7.23,452,6.2,163,319
CGY,"3,006 3,151",466,6.45,459,6.86,193,273
EDM,"3,087 3,139",429,7.2,463,6.78,203,226
HAM,"2,647 3,674",447,5.92,478,7.69,187,260
MTL,"2,912 2,801",449,6.49,467,6.0,192,257
OTT,"3,029 3,420",489,6.19,458,7.47,224,265
SSK,"2,722 3,501",471,5.78,470,7.45,160,311
TOR,"3,160 2,687",413,7.65,460,5.84,206,207
WPG,"3,608 2,482",487,7.41,426,5.83,233,254
CFL,"27,657","4,133",6.69,"4,133",6.69,"1,761","2,372"
