Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,8,36,120,32 (3),9,-8,9,19,6,13,28,62
CGY,6,28,72,26 (2),8,0,6,16,8,12,28,54
EDM,10,33,75,32 (1),6,-10,6,17,5,12,23,35
HAM,11,38,101,37 (1),7,-2,8,19,12,17,36,76
MTL,5,31,83,29 (2),9,+7,12,14,9,20,38,98
OTT,10,37,69,34 (3),6,+2,12,15,12,21,39,125
SSK,11,36,90,35 (1),4,-13,11,14,6,13,23,42
TOR,6,21,46,19 (2),10,+18,3,12,9,20,39,128
WPG,6,30,75,29 (1),14,+6,10,14,10,12,36,111
CFL,73,290,731,273 (16),73,2023,77,140,77,140,290,731
