Team,TOP,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_YdL,Gp,Games_+,Games_-,avg_Gap
BC,30:09,211,"7,523",35.7,23,6,211,39.2,15,5,10,-3.5
CGY,29:48,212,"8,102",38.2,29,8,207,37.2,15,7,8,+1.0
EDM,29:25,199,"7,403",37.2,18,3,198,35.1,15,9,6,+2.2
HAM,30:53,204,"7,318",35.9,26,5,206,39.6,15,5,10,-3.7
MTL,29:26,197,"7,121",36.1,19,3,203,37.1,15,6,9,-1.0
OTT,31:39,217,"8,062",37.2,23,9,211,38.0,15,6,9,-0.9
SSK,28:40,216,"8,117",37.6,26,7,213,38.1,15,8,7,-0.5
TOR,27:52,189,"7,782",41.2,38,17,198,34.1,14,13,1,+7.1
WPG,32:00,205,"7,746",37.8,27,10,203,37.9,15,8,7,-0.1
CFL,,"1,850","69,174",37.4,229,68,"1,850",37.4,,,,
